Ses01F_impro01_F000,EXCUSE ME,EXCUSE,EXCUSE ME OH,EXCUSE ME AND,OH EXCUSE ME,BUT EXCUSE ME,EXCUSE ME SIR,EXCUSE ME BUT,EXCUSE ME NOW,AND EXCUSE ME
Ses01F_impro01_F001,YES,YET,AS,ASKED,AH,GUESS,HERE,AGAIN,THIS,IF
Ses01F_impro01_F002,SIR CROMWELL,SIR SIMON,SIR PROM,SIR RICHMOND,SIR THOMAS,SIR FRANCIS,SIR JOHN,SIR NORMAN,SIR PRO,SIR PROMONT
Ses01F_impro01_F005,WELL WHAT'S THIS WHAT'S THE PROBLEM LET ME CHANGE IT,WELL WHAT'S IT WHAT'S THE PROBLEM LET ME CHANGE IT,WELL WHAT'S THIS WHAT'S THE TROUBLE LET ME CHANGE IT,WELL WHAT'S WHAT'S THE PROBLEM LET ME CHANGE IT,WELL WHAT'S THIS WHAT'S THE PROBLEM LET ME CHANGE HIM,WELL WHAT'S THIS WHAT'S THE PROBLEM LET ME CHANGE IN,WELL WHAT'S THIS WHAT'S THE PROBLEM LET ME TELL YOU,WELL WHAT'S IT WHAT'S THE TROUBLE LET ME CHANGE IT,WELL WHAT'S THAT WHAT'S THE PROBLEM LET ME CHANGE IT,WELL WHAT'S THIS WHAT'S THE PROBLEM LET ME CHANGE
Ses01F_impro01_F012,THAT'S OUT OF CONTROL,WHY THAT'S OUT OF CONTROL,AH THAT'S OUT OF CONTROL,IT'S OUT OF CONTROL,OR THAT'S OUT OF CONTROL,BUT THAT'S OUT OF CONTROL,OH THAT'S OUT OF CONTROL,ALL THAT'S OUT OF CONTROL,NOW THAT'S OUT OF CONTROL,ARE THAT'S OUT OF CONTROL
Ses01F_impro01_F014,CLEARLY YOU DON'T YOU HAVE LIKE A SUPERVISOR OR SOMETHING YET,CLEARLY YOU DON'T YOU HAVE A LIKE A SUPERVISOR OR SOMETHING YET,CLEARLY YOU DON'T YOU HAVE LIKE A SUPERVISOR OR SOMETHING,CLEARLY YOU DON'T DO YOU HAVE A LIKE A SUPERVISOR OR SOMETHING YET,CLEARLY YOU DON'T YOU HAVE A LIKE A SUPERVISOR OR SOMETHING,CLEARLY YOU DON'T YOU HAVE LIKE A SUPERVISOR OR SOMETHING ELSE,CLEARLY YOU DON'T DO YOU HAVE LIKE A SUPERVISOR OR SOMETHING YET,CLEARLY YOU DON'T YOU HAVE TO MAKE A SUPERVISOR OR SOMETHING YET,CLEARLY YOU DON'T DO YOU HAVE A LIKE A SUPERVISOR OR SOMETHING,CLEARLY YOU DON'T YOU HAVE TO LIKE A SUPERVISOR OR SOMETHING YET
Ses01F_impro01_M011,I DON'T UNDERSTAND WHY THIS IS SO COMPLICATED FOR PEOPLE WHEN THEY GET HERE IT'S JUST A SIMPLE FORM I JUST NEED AN IDEA,I DON'T UNDERSTAND WHY THIS IS SO COMPLICATED FOR PEOPLE WHEN THEY GET HERE IT'S JUST A SIMPLE FORM I JUST NEED AN IDEAL,I DON'T UNDERSTAND WHY THIS IS SO COMPLICATED FOR PEOPLE WHEN THEY GET HERE IT'S JUST A SIMPLE FORM I JUST MEAN AN IDEA,I DON'T UNDERSTAND WHY THIS IS SO COMPLICATED FOR PEOPLE WHEN THEY GET HERE IT'S JUST A SIMPLE FORM I JUST NEED,I DON'T UNDERSTAND WHY THIS IS SO COMPLICATED FOR PEOPLE WHEN THEY GET HERE IT'S JUST A SIMPLE FORM I JUST NEED AN EXCUSE,I DON'T UNDERSTAND WHY THIS IS SO COMPLICATED FOR PEOPLE WHEN THEY GET HERE IT'S JUST A SIMPLE FORM I JUST NEED AN OBJECT,I DON'T UNDERSTAND WHY THIS IS SO COMPLICATED FOR PEOPLE WHEN THEY GET THERE IT'S JUST A SIMPLE FORM I JUST NEED AN IDEA,I DON'T UNDERSTAND WHY THIS IS SO COMPLICATED FOR PEOPLE WHEN THEY GET HERE IT'S JUST A SIMPLE FORM I JUST NEEDED AN IDEA,I DON'T UNDERSTAND WHY THIS IS SO COMPLICATED FOR PEOPLE WHEN THEY GET HERE IT'S JUST A SIMPLE FORM I JUST NEED A IDEA,I DON'T UNDERSTAND WHY THIS IS SO COMPLICATED FOR PEOPLE WHEN THEY GET HERE IT'S JUST A SIMPLE FORM I JUST MEET AN IDEA
Ses01F_impro01_M013,YEAH YOU WON'T SEE MY SUPERVISOR EH NOW YOU ARE SO SUPERVISOR I'LL BE RIGHT BACK,YEAH YOU WON'T SEE MY SUPERVISOR EH NOW YOU ARE SO SUPERVISOR FLY I'LL BE RIGHT BACK,YEAH YOU WON'T SEE MY SUPERVISOR HUH YOU'LL SEE MY SUPERVISOR I'LL BE RIGHT BACK,YEAH YOU WON'T SEE MY SUPERVISOR EH NOW YOU ARE SO SUPERVISOR FINE I'LL BE RIGHT BACK,YEAH YOU WON'T SEE MY SUPERVISOR EH NOW YOU ARE SO A SUPERVISOR FINE I'LL BE RIGHT BACK,YEAH YOU WON'T SEE MY SUPERVISOR EH NOW YOU ARE SO A SUPERVISOR FLY I'LL BE RIGHT BACK,YEAH YOU WON'T SEE MY SUPERVISOR HUH YOU WON'T SEE MY SUPERVISOR I'LL BE RIGHT BACK,YEAH YOU WON'T SEE MY SUPERVISOR HUH YOU'LL SEE MY SUPERVISOR FLY I'LL BE RIGHT BACK,YEAH YOU WON'T SEE MY SUPERVISOR HUH YOU'LL SEE MY SUPERVISOR FINE I'LL BE RIGHT BACK,YEAH YOU WON'T SEE MY SUPERVISOR EH NOW YOU ARE SO A SUPERVISOR AND I'LL BE RIGHT BACK
Ses01F_impro02_F000,TO GET THE MAIL SHE SAW MY LETTER,SHE GET THE MAIL SHE SAW MY LETTER,TO GET THE MAIL YOU SAW MY LETTER,TO GET THE MAIL HE SAW MY LETTER,TO GET THE MAIL SEE SAW MY LETTER,SHE GET THE MAIL YOU SAW MY LETTER,YOU GET THE MAIL SHE SAW MY LETTER,YOU GET THE MAIL YOU SAW MY LETTER,TO GET THE MAIL SHE SENT MY LETTER,TO GET THE MAIL SHE SAW A LETTER
Ses01F_impro02_F001,YES NO,,YE KNOW,YES,YOU KNOW,YES I KNOW,YANO,YO KNOW,YENO,I KNOW
Ses01F_impro02_F002,I DON'T KNOW I PUT IN THAT REQUEST TO YOU,I DUNNO I PUT IN THAT REQUEST TO YOU,I DON'T KNOW I PUT IN THAT QUESTION TO YOU,I DON'T KNOW I PUT IN THAT REQUEST,I DON'T KNOW I PUT IN THAT REQUEST TO HIM,I DON'T THINK I PUT IN THAT REQUEST TO YOU,I DON'T MEAN I PUT IN THAT REQUEST TO YOU,I DON'T KNOW I PUT IN THAT REQUEST TO DAY,I DON'T KNOW I PUT IN THAT REQUEST TO THEM,I DIDN'T KNOW I PUT IN THAT REQUEST TO YOU
